id,question,trending_score
1431,Is "Star Wars Battlefront: X-Wing VR Mission" a timed exclusive to PS4 or will it not see the light of day on other platforms?,6
1425,Battlefield 1 vs Call of Duty,6.1
1435,Should Grayson Allen be suspended for tripping?,6.1
1433,Do you prefer train, plane, bus or boat?,6.2
1430,If your boyfriend says (That your going to find another guy with money to buy you a puppy is he calling you a ho/gold digger?,6.7
1434,Should college players going to the NFL sit out bowl games?,7.6
1423,Which tv show is the best?,9.1
1432,Is it ok to post revealing photos if your face can't be seen?,9.4
1429,Have you ever been in a relationship that lasted more than 3 years?,10
1417,What is the best Tim Burton movie?,10.6
1421,Whom do you save if one of them is going to die?,11.3
1418,whats your favorite movie,11.6
1408,Who's the Super Bowl favorite now?,12.1
1411,Who will be the best tennis player next year?,12.3
1396,How many National Championships does Nick Saban win before he retires?,13.3
1398,What do you do when your buttocks hurts and your truck driver, you need to be fixed by surgery but bills have to be paid?,13.7
1416,What messaging app do you use?,13.7
1407,Is Starboy the album of the year?,13.8
1409,Do labor unions do more harm than good?,15.2
1414,Ladies: Do you prefer a pretty man or a rough one?,15.3
1404,Who is the best PM?,15.4
1406,Which is your favourite singer/rapper among these?,15.8
1370,Which is the best nu metal band?!,15.9
1388,Better to be really tall or really short?,16.5
1391,Favorite main character in Pokémon Sun/Moon?,16.5
1363,So I took 6 pregnancy test over the last 3 weeks and 4 were negative and 2 were positive, not were taken in the morning, all in the middle of the day or at night, what should I think? Is there such thing as false positives?,17.1
1375,What animal do you follow the most of on Instagram?,17.2
1376,Who will win Super Bowl LI?,17.2
1413,Will you see Rogue One opening weekend?,17.2
1415,Do you prefer to shop for clothes online or in person?,17.2
1410,Is it Okay to bring your children to business meetings?,17.3
1387,What space movie are you most excited for?,17.6
1393,What Holiday Is The Best,17.6
1412,Who do you love more, your Mom or your Dad?,17.6
1382,Gta 5 or watch dogs 2,17.7
1390,Imo or skype??,17.7
1419,Do you like Christmas music?,17.7
1402,Can anyone beat the Cowboys?,18.1
1364,Which Undertale boss fight is the worst?,18.2
1405,What Is The Best Gaming Device ,18.4
1392,Which gen7 Pokemon game did you buy?,18.5
1381,Who is the best side kick of Batman?,18.6
1372,Scarves: yeah or nay?,19.4
1394,School,19.4
1401,Which is your favourite marvel character?,19.6
1377,Lesbians:would you date a girl who used to be a boy?,19.7
1369,Who is cuter?,19.8
1380,Left/right?,20.1
1397,Should there be a maximum wage?,21
1347,Best Dragonball Villan,21.3
1359,Which should the U.S government focus on more?,21.4
1383,Windows vs Apple macbook for gaming,21.6
1395,Are you excited for Super Mario Run?,21.6
1169,How does calcitriol when present in excess act as hypercalcemic hormone? Reactions or process?,21.6
1341,I like to use my phone for modding apps, should I get an Android or an iPhone? (Would either be S6/7 or 6s),21.7
1373,City or country?,21.7
1379,best movie in marvel cinematic universe,21.7
1229,do you think that they are gonna make another This is england sequel?,21.8
1389,Best anime show from these 4?,21.9
1371,who is best characters in mcu,22.1
1339,Which is a better catchphrase?,22.2
1356,Will there be another communist revolution?,22.2
1340,Megadeth or Metallica?,22.4
1348,Most Rage inducing overwatch character,22.7
1403,Best Spider-Man?,22.8
968,The Perks or Brumby?,22.9
1384,Do you fold your pizza?,23.1
1355,Mustang or Camaro?,23.2
1399,Do you believe Russian hackers changed the outcome of the US election?,23.2
1342,Am I pregnant,23.6
1386,Who would win between Thanos,  Apocalypse and Darkseid? ,23.7
1365,will i finish my book?,23.8
1344,Overwatch or Team Fortress 2,23.9
1378,Big dogs or little dogs?,23.9
1036,What Size of Skateboard - for someone with size 10.5 feet,24
1374,god is real?,24.1
1090,What is John Wayne's best Movie?,24.2
1175,Facebook,24.2
1353,Should a teenager who is in college, has a minimum wage job, pays for his own car (insurance and gas), his own phone, and his own food, still have to contribute to a household such as pay to feed the whole family and his sisters phone bill?,24.3
1197,Is canada better than us for post graduate and mba programmes?,24.4
1335,Are tarantulas intelligent?,24.5
1095,After seeing "Sully", I wonder if there has ever been a successful dead stick landing of a commercial flight on a runway?  Not a controlled crash, but a smooth damage free landing as depicted in the simulator sequence.,24.5
1204,Which track would you most like to see added to Real Racing 3?,24.6
1362,what color is "earth"? (the element earth),24.9
1185,Are you a Loyalty Program User?,25
1349,Best Marvel Guy,25.1
1358,Thoughts on gun control,25.2
1360,Truth or Dare?,25.4
1338,What side of Manchester,25.7
1366,Michigan or Ohio State?,25.8
1422,Who lies more, men or women?,25.8
1290,Porsche 918, LaFerrari or McLaren P1 ?,25.9
1087,Whose Arcana do you really want?,26
1107,Do you want to see the winter soldier again with both of his arms,26.2
1231,Who is the better tennis player, Roger Federer or Rafa Nadal?,26.2
1328,Now that's gonna be tough! Chandler or Joey,26.4
1130,Which has better movies bollywood vs hollywood,26.4
1190,Filthy Frank or Pink Guy?,26.4
1208,What platform should Traffic and Copy expand to next?,26.4
1345,Best Legendary Pokémon Rayquaza, Mewtwo, Arceus.,26.5
1337,God or Lucifer?,26.6
1361,How much do you tip in a restaurant?,26.6
1171,What is name?,26.8
1180,How would you rank Fox News?,26.8
1350,Best Cat,26.9
1368,Would you rather your girl cheat on you with another girl or a guy?,26.9
1116,Who's your favourite MLB Team in Texas?,27
1198,Final Cut Pro or avid?best software?,27
1003,How did you like HP and the Cursed Child?,27.1
1163,Giant Douche or Turd Sandwich?,27.2
1357,Best cookie?,27.4
994,Should I customise my light scooter,27.8
1188,Which one is best breakfast?,28.1
1006,Should the WWE Dictators clear Daniel Bryan (Concussions) to wrestle again,28.1
1354,Is healthcare a basic human right?,28.2
1295,Who is better,28.3
1263,Should skylander imaginators Be out in halloween?,28.5
1346,Worst thing that happened in 2016,28.6
1131,Who is best actor salman khan vs srk,28.6
1154,How many licks does it take to get to the center of the tootsie pop????,28.6
1166,Are you excited to see Alec Baldwin as Trump?,28.8
1099,Is Sully a good movie,28.9
1195,I have an offer ipad mini 32gb rs15500 ,iphone 5s 16000..so help me which one??????????,28.9
1250,Who should be the new character for red dead redemption,29
1322,You can't be serious?!?,29.2
1343,Are you over the mannequin challenge?,29.2
1234,Deepika Padukone or Priyanka Chopra,29.2
1330,Will we have a World President in the future?,29.4
1242,Which game do you like most among supercell's games?,29.4
1129,Does humans are evolved from apes?,29.5
1179,Is Indian Primeminister Mr.Narendra Modi doing well with the country?,29.5
1334,Can short hair be pretty if you have the right face for it?,29.6
1196,Which is the best boyband in whole world you think?,29.8
1216,Who Do you think is better,29.8
1005,Who rules New York,30
1298,Who's better: Durant or Westbrook?,30.1
923,Will this hair work for box braids,30.1
1105,Did you have a period in your life where you were obsessed with the titanic?,30.3
1110,Should the US start the political race over with new candidates?,30.3
1270,Should Spain allow Russian warships bound for Syria to use it's ports to refuel?,30.3
1030,which field is best one for engineering career software or hardware,30.4
1243,For Entertainment, A Cable T.V Connection or Internet Connection?,30.5
1333,Does the US spend too much on the military?,30.6
1352,Are homosexuals born or made?,30.6
789,Is it dumb to name my business BFX after my initials?,30.7
1304,Do you like playing giant robot games?,30.7
813,Taylor or kanye , who''ll win?????,30.9
1294,Greatest World Series of all time?,31
827,Bonnie or Maxine,31
1189,What is the best profession?,31
1205,Who would win if there is a war between india and pakisthan?,31.1
1103,Why do people print wedding menus when you know what you are getting for dinner? ,31.2
1201,whos better ,31.2
1332,Android or ios ?,31.3
1091,What special event is your favorite,31.3
1326,What's better Play Station 4 or Xbox 360?,31.4
826,What is your favourite Dolly Parton movie,31.4
1108,What kind of toothpaste do you buy?,31.6
1167,What is better?,31.7
1239,Who would win? Batman or Wolverine?,31.7
1274,Which edible oil is more nutritious?,31.7
1285,Jammu & Kashmir belongs to?,31.8
1127,Will Donald Trump bail on the debate against Hillary?,32.1
1219,Who wins the Cubs - Giants Series?,32.2
1106,Zyan Malik Or Harry Styles,32.4
1327,Now that it's back on sale, will you buy an NES Classic?,32.5
1331,What comes first a chicken or an egg ?,32.5
1092,Is islam the religion of peace?,32.6
1097,Who's your favorite?,32.6
1089,Should feminine products be free or tax free?,32.7
1291,Tintin or Asterix?,32.8
1293,New MacBook Pro or Surface Studio?,32.9
1191,What team are you in?,32.9
1223,should  Zootopia 2 get made or should a zootopia tv series be made ?,32.9
969,Olympic Gold Medal or NBA Championship Ring?,32.9
1182,Do you check out your work after you shit?,33
982,Who is the best women's wrestler,33
815,BOTDF??,33.1
1126,Can I get a job in marvel studios ? And how ?,33.1
1325,Is it bad to use ur  smart phone while charging it,33.2
1042,Should Dilma Rousseff have been removed as President of Brazil?,33.3
1301,Battlefield 1 or COD: Infinite Warfare (+ COD 4 Remaster),33.3
1152,is there should be a war between India and Pakistan?,33.3
1200,Who won the vice presidential debate?,33.4
1230,Does Bob Dylan deserve the Nobel Prize for literature?,33.4
811,Filthyfrank or suicide?,33.5
1329,More afraid of aliens, zombies or clowns?,33.5
1079,Banda favorita,33.5
1117,Who is the hottest female Pornstar of 2016,33.5
1132,Would you marry someone who has been married 4 times?,33.5
1183,Are you a Jehovah Witness?,33.5
1017,Which Color would you choose? pt.1,33.5
1124,Which would you choose?,33.6
1033,Is Pearl Jam a better band than Nirvana?,33.8
1056,Does your employer expect you to work after hours?,33.8
1265,Are self-help books a waste of time?,33.8
1143,Do other people's feet freak you out?,33.9
1158,What is your favorite anime?,33.9
1367,What should I buy?,34.1
1161,is mayonnaise an instrument?? ,34.1
1149,If there are aliens, would they also worship the supreme being?,34.2
