category_id;id;question;trending_score;updatedDate
1;1445;Are memes the best in existence;2.6;2016-12-26 14:28:55
1;1444;RIP George Michael;5.4;2016-12-26 08:13:45
1;1436;a kiss marry or kill..... (Guy in photo);6.9;2016-12-26 14:12:21
1;1417;What is the best Tim Burton movie?;13.5;2016-12-26 04:13:27
1;1423;Which tv show is the best?;13.9;2016-12-26 00:01:59
1;1418;whats your favorite movie;15.2;2016-12-25 22:29:28
1;1421;Whom do you save if one of them is going to die?;16.2;2016-12-26 15:03:26
1;1407;Is Starboy the album of the year?;16.3;2016-12-26 04:28:11
1;1370;Which is the best nu metal band?!;16.5;2016-12-25 16:22:54
1;1406;Which is your favourite singer/rapper among these?;17.8;2016-12-25 18:25:47
1;1387;What space movie are you most excited for?;18.5;2016-12-25 10:28:04
1;1390;Imo or skype??;18.7;2016-12-25 18:23:13
1;1381;Who is the best side kick of Batman?;19.8;2016-12-26 11:40:23
1;1413;Will you see Rogue One opening weekend?;19.9;2016-12-26 10:12:44
1;1229;do you think that they are gonna make another This is england sequel?;21.9;2016-12-26 11:36:54
1;1347;Best Dragonball Villan;22.8;2016-12-25 13:47:11
1;1379;best movie in marvel cinematic universe;23;2016-12-25 10:29:38
1;1389;Best anime show from these 4?;23;2016-12-26 00:37:46
1;1339;Which is a better catchphrase?;23.2;2016-12-26 14:53:12
1;1340;Megadeth or Metallica?;23.3;2016-12-25 21:24:54
1;1371;who is best characters in mcu;23.3;2016-12-26 04:13:56
1;968;The Perks or Brumby?;23.4;2016-12-25 09:50:14
1;1175;Facebook;24.2;2016-12-22 17:55:05
1;1090;What is John Wayne's best Movie?;24.4;2016-12-23 01:16:18
1;1095;After seeing "Sully", I wonder if there has ever been a successful dead stick landing of a commercial flight on a runway?  Not a controlled crash, but a smooth damage free landing as depicted in the simulator sequence.;24.5;2016-12-22 17:33:35
1;1386;Who would win between Thanos,  Apocalypse and Darkseid? ;24.8;2016-12-25 10:28:25
1;1403;Best Spider-Man?;24.9;2016-12-26 03:51:38
1;1107;Do you want to see the winter soldier again with both of his arms;26.2;2016-12-21 18:26:24
1;1130;Which has better movies bollywood vs hollywood;26.5;2016-12-25 20:18:18
1;1190;Filthy Frank or Pink Guy?;26.6;2016-12-25 06:03:01
1;1349;Best Marvel Guy;26.7;2016-12-25 21:34:38
1;1171;What is name?;27;2016-12-23 20:16:27
1;1003;How did you like HP and the Cursed Child?;27.2;2016-12-25 14:47:47
1;1328;Now that's gonna be tough! Chandler or Joey;27.7;2016-12-25 23:02:58
1;1154;How many licks does it take to get to the center of the tootsie pop????;28.8;2016-12-24 04:31:24
1;1166;Are you excited to see Alec Baldwin as Trump?;28.8;2016-12-22 11:41:47
1;1099;Is Sully a good movie;28.9;2016-12-22 02:04:29
1;1131;Who is best actor salman khan vs srk;28.9;2016-12-25 17:13:52
1;1234;Deepika Padukone or Priyanka Chopra;29.5;2016-12-24 13:10:50
1;1196;Which is the best boyband in whole world you think?;30.2;2016-12-25 17:16:10
1;1216;Who Do you think is better;30.2;2016-12-23 22:07:23
1;789;Is it dumb to name my business BFX after my initials?;30.7;2016-12-22 11:59:36
1;1334;Can short hair be pretty if you have the right face for it?;30.8;2016-12-25 10:38:48
1;813;Taylor or kanye , who''ll win?????;31;2016-12-25 23:32:20
1;827;Bonnie or Maxine;31.1;2016-12-25 02:36:10
1;1243;For Entertainment, A Cable T.V Connection or Internet Connection?;31.2;2016-12-24 06:41:50
1;826;What is your favourite Dolly Parton movie;31.6;2016-12-23 13:29:08
1;1091;What special event is your favorite;31.7;2016-12-25 17:18:28
1;1167;What is better?;31.9;2016-12-26 01:07:34
1;1106;Zyan Malik Or Harry Styles;32.5;2016-12-23 22:36:15
1;1239;Who would win? Batman or Wolverine?;32.5;2016-12-25 02:36:01
1;1097;Who's your favorite?;32.7;2016-12-24 10:34:10
1;1326;What's better Play Station 4 or Xbox 360?;33.1;2016-12-25 17:07:00
1;982;Who is the best women's wrestler;33.2;2016-12-26 04:11:06
1;815;BOTDF??;33.3;2016-12-23 14:30:47
1;1291;Tintin or Asterix?;33.3;2016-12-26 10:57:20
1;1332;Android or ios ?;33.4;2016-12-26 14:29:17
1;1079;Banda favorita;33.5;2016-12-22 15:11:14
1;1117;Who is the hottest female Pornstar of 2016;33.5;2016-12-21 11:11:32
1;811;Filthyfrank or suicide?;33.6;2016-12-26 04:04:04
1;1126;Can I get a job in marvel studios ? And how ?;33.6;2016-12-25 20:05:34
1;1017;Which Color would you choose? pt.1;33.7;2016-12-25 21:42:43
1;1230;Does Bob Dylan deserve the Nobel Prize for literature?;33.8;2016-12-25 17:10:19
1;1033;Is Pearl Jam a better band than Nirvana?;33.9;2016-12-23 04:40:53
1;1331;What comes first a chicken or an egg ?;34.1;2016-12-25 23:16:34
1;1158;What is your favorite anime?;34.4;2016-12-25 06:04:47
1;1161;is mayonnaise an instrument?? ;34.5;2016-12-24 16:27:39
1;1265;Are self-help books a waste of time?;34.7;2016-12-26 04:39:35
1;1305;Whats better Sao or Aot;34.7;2016-12-23 09:46:55
1;1240;Which one ?batman dark knight or inception ?;35;2016-12-25 02:37:09
1;1128;who is richest and powerfull among bruce wayne and tony stark?;35.4;2016-12-25 19:31:01
1;823;Which American Horror Story do you like the most?;35.5;2016-12-24 23:58:47
1;1168;Wolverine has a blade coming out of all five of his fingers.?;35.9;2016-12-24 14:12:25
1;998;Should I stay or should I go;36;2016-12-26 02:18:51
1;967;Which Cw DC series is your favorite? ;36.6;2016-12-26 09:22:12
1;810;Filthyfrank or cancer?;36.8;2016-12-26 08:29:31
1;1288;Oprah or Ellen?;36.9;2016-12-24 10:20:30
1;1307;Which is the best gangster movie?;37.1;2016-12-26 04:12:10
1;924;Which anime is better?;37.3;2016-12-23 13:09:36
1;1073;Who is the best hip-hop artist of the current generation?;37.4;2016-12-26 03:41:42
1;1267;iPhone7: Awesome or Bust;37.4;2016-12-25 17:15:00
1;996;Marvel's Iron Man or DC's Batman?;37.8;2016-12-25 12:08:13
1;959;Is the Lumia Camera still the Best?;37.9;2016-12-23 17:28:29
1;1038;Who is the best Friends character?;37.9;2016-12-26 05:57:03
1;1176;WIll you watch Luke Cage?;38.3;2016-12-23 19:24:55
1;1302;Favorite F.R.I.E.N.D.S. male character?;38.8;2016-12-23 10:23:33
1;752;Favorite Walking Dead Character?;38.9;2016-12-25 17:05:30
1;792;which one is better ?;39.1;2016-12-25 02:38:36
1;1245;What's better, chicken or porn;39.3;2016-12-24 13:10:31
1;978;Who is better Flash or Shazam?;39.4;2016-12-26 00:44:49
1;1004;Who is faster ?;39.4;2016-12-25 02:38:38
1;1057;Are we human or dancer;39.4;2016-12-22 22:23:00
1;1075;Who is more sacred?;39.7;2016-12-24 16:40:58
1;1098;Which Band is better?;39.7;2016-12-24 01:11:16
1;770;which of these guys if your favorite?;39.8;2016-12-26 03:55:40
1;1083;Would you have given your life to save Harambe?;39.8;2016-12-25 18:35:21
1;963;Which Flash is the best?;39.9;2016-12-25 20:23:19
1;753;Favorite Hobbit?;40.3;2016-12-21 23:36:38
1;981;What should I do with old CDs that I burned to digital?;40.3;2016-12-25 17:18:46
1;1144;Who will win: Black widow or Harley Quinn?;40.4;2016-12-24 17:10:40
1;1162;Jolie vs Aniston;40.6;2016-12-24 21:37:59
1;782;Who is better Messi or CR7;41.1;2016-12-25 02:38:07
1;787;Do you enjoy puns?;41.3;2016-12-25 20:06:05
1;921;Kate McKinnon or Chris Hemsworth?;41.3;2016-12-26 04:11:46
1;1220;What movie do you like better?;41.4;2016-12-25 20:05:12
1;1018;Which Color would you choose? pt.2;42;2016-12-26 14:48:02
1;926;Who is more powerful;42.1;2016-12-25 23:54:45
1;1111;Is Beyoncé overrated?;42.1;2016-12-25 02:38:37
1;1104;Is Pokemon Cool??????????;42.2;2016-12-25 02:25:35
1;1008;is 3rd eye a real fact;42.4;2016-12-24 22:55:40
1;1077;MORTAL KOMBAT OR STREET FIGHTER;42.4;2016-12-25 17:14:43
1;1192;Let's do this.... Harry Potter or POTC;42.4;2016-12-24 20:31:52
1;1282;What is better Jurassic Park or Star Wars;42.4;2016-12-25 19:53:15
1;756;Favorite Gaming Company;42.5;2016-12-25 20:25:56
1;1109;Who's your favorite Harry Potter character?;42.6;2016-12-23 07:18:44
1;716;Newest super sayian or oldest super sayian?;42.9;2016-12-19 16:03:25
1;814;Rock music?;43;2016-12-22 01:30:13
1;1323;Ariana Grande or Selena Gomez?;43.1;2016-12-25 23:59:35
1;1055;Do you prefer books or movies?;43.2;2016-12-22 22:22:55
1;1252;If you could bring one of them back for one more song who would it be??;43.7;2016-12-23 22:33:59
1;1159;Who came first?;43.8;2016-12-26 04:04:30
1;714;Led Zeppelin or The Beatles?;44;2016-12-25 17:19:40
1;1306;Eminem vs. Sean Paul;44;2016-12-24 08:25:10
1;1264;Do you still watch The Walking Dead?;44.3;2016-12-26 09:46:54
1;720;Cual es la mejor serie?;44.4;2016-12-23 19:33:48
1;1028;Goku or superman;44.4;2016-12-26 05:44:14
1;824;Who did a better portrayal of Sherlock Holmes ?;44.6;2016-12-22 09:57:38
1;979;¿Emoji or :v?;44.6;2016-12-24 14:47:30
1;1145;Guy or girl?;44.7;2016-12-25 18:36:00
1;731;The Best Lord of the Rings Character?;44.9;2016-12-26 12:21:07
1;973;Choose one film you would watch without reading reviews;44.9;2016-12-26 10:51:06
1;139;Is this the year Jon Hamm finally wins an Emmy?;45;2016-12-24 13:51:43
1;726;Which Pevensie is the best?;45.2;2016-12-24 03:45:10
1;980;Straight, Yaoi, Yuri or All?;45.3;2016-12-26 14:07:12
1;1024;Is the conspiracy dude theory on eminem real?;45.8;2016-12-26 12:36:13
1;1246;Netflix, Hulu or Amazon Prime?;45.8;2016-12-26 03:53:57
1;231;Is Charlie Sheen a victim of blackmail?;46.5;2016-12-24 13:51:26
1;948;black vs white;46.5;2016-12-25 00:49:14
1;1039;Are artists who die young overrated?;46.5;2016-12-25 17:13:11
1;1032;R.I.P.;47;2016-12-24 11:30:10
1;1300;Girls like to date short guys or tall? ;47.6;2016-12-25 17:06:08
1;141;Who's the greatest guitarist of all time?;47.7;2016-12-23 01:07:51
1;1173;what superpower would you like to have?;47.8;2016-12-26 11:23:02
1;1227;Deadpool or Wolverine?;47.8;2016-12-24 18:25:31
1;1058;F.R.I.E.N.D.S. OR SEINFELD?;48.1;2016-12-25 22:26:58
1;140;Should the Sneaky Pete pilot on Amazon get picked up?;48.2;2016-12-20 02:58:45
1;993;who is better, marvel or dc?;48.3;2016-12-22 22:23:22
1;730;Which Game of Thrones Character is the Best?;48.5;2016-12-25 02:37:36
1;788;Which ones the best: Interstellar or Inception?;49.1;2016-12-22 06:19:06
1;1059;What is life?;49.3;2016-12-22 08:11:15
1;227;Who will be the next hot celebrity couple?;49.4;2016-12-24 18:18:11
1;1007;Captain America vs Batman;49.4;2016-12-24 21:22:42
1;717;Which is the best sport (that's doesn't contain balls in them);50;2016-12-25 02:34:56
1;794;Which is the best superhero without superpowers;50.1;2016-12-25 20:23:07
1;935;What should I write a book about;50.3;2016-12-26 07:16:00
1;259;Iron bowl winner?;50.5;2016-12-24 09:31:34
1;808;If poison reaches it's expiry date will it become more poisonous or less poisonous...?????????;50.5;2016-12-25 17:14:31
1;268;Wahoos or Hokies today?;51;2016-12-24 09:40:23
1;855;Whos better sam or dean;51.5;2016-12-26 06:11:24
1;1113;What decade had the best MUSIC?;51.7;2016-12-26 12:01:48
1;261;TCU or Baylor tonight?;51.9;2016-12-26 12:56:04
1;192;Who is your favorite Star Wars character?;52.3;2016-12-26 12:05:55
1;1086;Dragon ball z or Pokemon;52.3;2016-12-26 08:33:35
1;27;May the force be with who?;53.2;2016-12-26 11:39:59
1;204;Halle Berry's getting divorced, what's next?;53.2;2016-12-21 09:30:53
1;32;Who is your favorite Game of Thrones character?;53.4;2016-12-24 18:14:57
1;768;Scarlett Johansson Or Megan Fox?;53.4;2016-12-25 19:03:57
1;185;Is John Green pretty much John Boy Walton?;53.5;2016-12-25 02:38:35
1;246;who will die next in The Walking Dead;54.1;2016-12-24 18:18:24
